row_id,cumulative_gpa,gpa_trend,num_failures,num_repeats,progress_rate,pct_complete,planned_credits,planned_workload_index,num_hard_courses,at_risk
0,2.7579881402672837,0.0648135188880814,0.0,0.0,0.84,0.525,13.0,47.0,1.0,0
1,1.9913907237952342,0.4084969921391981,1.0,1.0,0.5066666666666667,0.31666666666666665,15.0,60.0,3.0,0
2,2.687713807191583,-0.14045634082967196,0.0,0.0,0.9666666666666667,0.24166666666666667,14.0,63.0,4.0,0
3,3.225131614877347,0.774868385122653,2.0,0.0,1.0333333333333334,0.5166666666666667,12.0,42.0,3.0,0
4,1.5636004811981519,0.6338709635921276,5.0,3.0,0.5,0.125,17.0,61.0,2.0,1
5,2.0076299111570193,-0.3027551823921568,1.0,1.0,0.5333333333333333,0.06666666666666667,13.0,42.0,1.0,1
6,2.6527619890212124,-0.04107038424240805,1.0,1.0,0.7916666666666666,0.7916666666666666,14.0,49.0,2.0,0
7,2.5257903485040587,0.27310985020358647,1.0,1.0,0.6444444444444445,0.24166666666666667,14.0,57.0,3.0,0
8,2.3841333039434245,-0.48055924567291,3.0,2.0,0.7466666666666667,0.4666666666666667,10.0,44.0,3.0,0
9,1.9554359984452956,0.4033596631693819,2.0,1.0,0.4888888888888889,0.18333333333333332,16.0,61.0,4.0,1
10,2.7122371462163484,0.5939107768732024,0.0,0.0,1.0166666666666666,0.5083333333333333,16.0,68.0,4.0,0
11,3.0076331851111777,0.11086755616781074,0.0,0.0,0.9833333333333333,0.49166666666666664,12.0,56.0,3.0,0
12,2.5204380454918787,0.23060059510237396,2.0,2.0,0.7777777777777778,0.2916666666666667,20.0,85.0,5.0,1
13,3.0844753825568554,0.6584709929589869,1.0,0.0,1.0933333333333333,0.6833333333333333,13.0,43.0,2.0,0
14,2.9073279949334214,-0.04204056209185447,0.0,0.0,0.8916666666666667,0.8916666666666667,13.0,37.0,1.0,0
15,2.0635630662845745,0.025035369580271194,2.0,2.0,0.5,0.25,13.0,42.0,1.0,0
16,2.587849280224825,0.7524399069919738,1.0,0.0,0.8583333333333333,0.8583333333333333,10.0,35.0,1.0,0
17,2.4543295854568656,0.48342771492603864,2.0,2.0,0.5,0.375,18.0,76.0,5.0,1
18,3.0775960726457887,-0.14901231558680017,1.0,0.0,1.0133333333333334,0.6333333333333333,11.0,40.0,2.0,0
19,2.4100662910172064,-0.1415785106109113,0.0,0.0,0.7333333333333333,0.275,14.0,60.0,3.0,0
20,2.3978503809101492,0.0418124883205917,2.0,1.0,0.6666666666666666,0.08333333333333333,13.0,49.0,2.0,0
21,2.199517305226452,0.5582547335592758,1.0,1.0,0.5428571428571428,0.475,12.0,36.0,1.0,0
22,3.2461108419321367,-0.5171063768235924,1.0,1.0,1.0933333333333333,0.6833333333333333,9.0,34.0,2.0,0
23,2.71033342581904,-0.547686046675214,2.0,0.0,0.7,0.35,13.0,42.0,1.0,0
24,2.35250520416546,-0.5497318302531604,2.0,1.0,0.6190476190476191,0.5416666666666666,16.0,64.0,4.0,0
25,2.6846077730117117,-0.3459703255699087,1.0,1.0,0.6444444444444445,0.24166666666666667,15.0,63.0,5.0,0
26,2.827906610452526,-0.022779185357270304,1.0,0.0,0.9111111111111111,0.6833333333333333,18.0,70.0,4.0,0
27,2.864959641439227,0.23292320977682213,0.0,0.0,0.8666666666666667,0.325,18.0,77.0,4.0,0
28,2.980299965526968,-0.04236669723496922,2.0,1.0,0.8761904761904762,0.7666666666666667,14.0,50.0,2.0,0
29,3.0162243973610874,0.04103445574386777,0.0,0.0,0.8888888888888888,0.3333333333333333,19.0,88.0,5.0,0
30,3.974687013093076,-0.5994167149017242,0.0,0.0,1.1,0.275,14.0,50.0,3.0,0
31,2.3356699798564415,-0.27045794396133394,2.0,2.0,0.6333333333333333,0.475,13.0,41.0,1.0,1
32,2.3174431099694166,0.3697937009985064,1.0,0.0,0.6,0.15,13.0,49.0,2.0,0
33,1.780511614479116,-0.002738587124013092,2.0,0.0,0.5083333333333333,0.5083333333333333,19.0,75.0,5.0,1
34,2.9093871766264385,-0.2911420049954403,2.0,2.0,0.9333333333333333,0.7,14.0,46.0,1.0,0
35,3.3846228876859876,0.05652785672894067,0.0,0.0,1.0888888888888888,0.4083333333333333,11.0,44.0,2.0,0
36,2.6718543702682016,0.9813872205594159,1.0,1.0,0.7,0.175,16.0,72.0,4.0,0
37,2.1249408695190977,-0.09997398359834131,2.0,2.0,0.49523809523809526,0.43333333333333335,11.0,42.0,2.0,0
38,2.401406247809312,-0.21550191265480523,0.0,0.0,0.5066666666666667,0.31666666666666665,16.0,51.0,1.0,0
39,2.9002252406518645,-0.03998058587262232,1.0,0.0,0.9428571428571428,0.825,14.0,57.0,3.0,0
40,2.9013688205589085,0.07399456645593228,0.0,0.0,0.9666666666666667,0.24166666666666667,14.0,51.0,3.0,0
41,2.828510587283902,0.24344723628333131,1.0,0.0,0.9142857142857143,0.8,16.0,57.0,2.0,0
42,2.065599907265801,-0.059991675133234335,1.0,0.0,0.5466666666666666,0.3416666666666667,9.0,27.0,1.0,0
43,2.8210479824422263,-0.5250489027121823,1.0,1.0,0.8222222222222222,0.6166666666666667,13.0,46.0,2.0,0
44,2.7074494667686917,-0.22291425060998193,4.0,4.0,0.7833333333333333,0.39166666666666666,12.0,45.0,2.0,0
45,2.811775645156915,-0.22680563052846336,0.0,0.0,0.8,0.1,19.0,83.0,5.0,1
46,3.017130155081823,0.13250771864558608,0.0,0.0,1.0083333333333333,1.0,16.0,59.0,2.0,0
47,2.714266604925187,0.013532707941973143,1.0,1.0,0.8166666666666667,0.8166666666666667,13.0,41.0,1.0,0
